"PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN"
"T2M,2021,26,78.75,16.66,21.8,28.2,32.22,33.23,34.43,32.17,28.68,27.53,25.15,19.02,15.44,26.21"
"T2M,2021,26,79.375,16.98,21.86,28.44,32.22,33.35,33.78,31.66,28.92,27.76,25.21,18.77,15.14,26.17"
"T2M,2021,26,80,17,21.71,28.52,32.12,33.34,33.18,31.31,28.88,27.85,25.08,18.56,14.98,26.04"
"T2M,2021,26.5,76.875,15.36,21.16,27.44,31.43,32.9,35.22,32.03,28,27.22,25.08,19.69,15.54,25.92"
"T2M,2021,26.5,77.5,15.6,21.55,27.78,31.91,33.14,35.44,32.64,28.33,27.45,25.5,19.87,15.81,26.25"
"T2M,2021,26.5,78.125,15.5,21.43,27.85,32.11,33.22,35.33,32.73,28.52,27.58,25.38,19.65,15.55,26.24"
"T2M,2021,26.5,78.75,15.82,21.39,27.87,32.09,33,34.47,32.59,28.86,27.77,25.38,19.35,15.41,26.17"
"T2M,2021,26.5,79.375,16.16,21.36,27.91,31.86,32.94,33.72,32.04,28.97,27.8,25.15,18.96,15.3,26.01"
"T2M,2021,26.5,80,16.41,21.22,27.95,31.65,32.82,33.05,31.6,28.88,27.75,24.88,18.4,14.97,25.8"
"T2M,2021,27,76.875,14.68,20.74,27.3,31.14,32.86,34.82,32.5,28.32,27.27,25.28,19.75,15.23,25.82"
"T2M,2021,27,77.5,14.5,20.62,27.37,31.45,32.89,34.84,32.79,28.59,27.65,25.77,19.48,15.08,25.92"
"T2M,2021,27,78.125,14.63,20.62,27.46,31.85,32.9,34.66,32.81,28.73,27.66,25.43,19.26,15.1,25.93"
"T2M,2021,27,78.75,15.02,20.85,27.46,31.81,32.66,33.84,32.67,28.92,27.83,25.52,19.13,15.14,25.9"
"T2M,2021,27,79.375,15.49,20.94,27.47,31.59,32.47,33.29,32.32,29.04,27.96,25.42,19.05,15.17,25.85"
"T2M,2021,27,80,16.01,20.91,27.55,31.38,32.37,32.87,32.05,29.03,27.94,25.02,18.69,15.15,25.75"
"T2M,2021,27.5,76.875,13.9,19.91,26.63,30.52,32.47,34.22,32.54,28.6,27.25,25.15,19.38,14.6,25.43"
"T2M,2021,27.5,77.5,13.87,19.78,26.92,30.9,32.67,34.28,32.76,28.92,27.84,25.52,19.03,14.6,25.59"
"T2M,2021,27.5,78.125,14.01,19.9,27,31.13,32.45,33.94,32.48,28.79,27.62,24.88,18.67,14.65,25.46"
"T2M,2021,27.5,78.75,14.35,20.08,27.06,31.2,32.2,33.09,32.19,28.89,27.82,25.32,18.68,14.78,25.47"
"T2M,2021,27.5,79.375,14.89,20.41,27.16,31.09,32.01,32.53,32.04,29,27.97,25.21,18.47,14.83,25.47"
"T2M,2021,27.5,80,15.56,20.56,27.16,30.97,31.88,32.29,31.83,28.98,27.87,24.84,18.09,14.78,25.4"
"T2M,2021,28,76.875,13.07,19.12,25.9,29.88,32.04,33.65,32.27,28.82,27.17,24.64,18.7,13.8,24.92"
"T2M,2021,28,77.5,13.39,19.16,26.35,30.38,32.26,33.73,32.37,28.99,27.54,24.82,18.28,13.98,25.1"
"T2M,2021,28,78.125,13.57,19.27,26.42,30.53,32.1,33.39,32.05,28.73,27.37,24.33,17.74,13.93,24.95"
"T2M,2021,28,78.75,14.06,19.56,26.67,30.67,31.91,32.39,31.81,28.71,27.5,24.5,17.52,14.06,24.95"
"T2M,2021,28,79.375,14.66,19.93,26.82,30.66,31.56,31.44,31.4,28.66,27.57,24.39,17.1,14.03,24.85"
"T2M,2021,28,80,15.55,20.31,26.94,30.67,31.29,31.18,31.01,28.6,27.64,24.33,16.86,14.08,24.87"
"T2M,2021,28.5,76.875,12.82,18.65,25.58,29.56,31.99,33.56,32.18,28.99,27.11,24.14,18.02,13.35,24.66"
"T2M,2021,28.5,77.5,13.23,18.74,25.93,29.95,31.91,33.3,32.05,28.91,27.23,24.13,17.55,13.49,24.7"
"T2M,2021,28.5,78.125,13.52,18.81,26.07,30.17,31.73,32.98,31.72,28.67,27.15,23.85,17.02,13.28,24.58"
"T2M,2021,28.5,78.75,14.07,19.09,26.36,30.31,31.51,31.94,31.46,28.65,27.37,23.99,16.86,13.64,24.6"
"T2M,2021,28.5,79.375,14.82,19.75,26.53,30.41,31.07,30.94,30.82,28.52,27.47,24.29,16.78,13.85,24.6"
"T2M,2021,28.5,80,15.5,20.29,26.51,30.3,30.56,30.41,30.03,28.3,27.44,24.35,16.8,13.93,24.53"
"T2M,2021,29,76.875,12.64,18.29,25.41,29.34,31.91,33.51,32.04,29.09,27.1,23.78,17.34,13.01,24.46"
"T2M,2021,29,77.5,13.21,18.43,25.62,29.63,31.5,33.01,31.76,28.78,27.14,23.63,16.9,13.02,24.39"
"T2M,2021,29,78.125,13.52,18.58,25.77,29.91,31.42,32.71,31.52,28.65,27.27,23.56,16.77,13.15,24.4"
"T2M,2021,29,78.75,14.35,19.13,25.92,29.95,31.09,31.84,31.26,28.68,27.5,24.23,17.29,13.92,24.6"
"T2M,2021,29,79.375,15.33,19.45,25.57,29.45,30.05,30.43,30.07,27.87,27,24.37,17.44,14.29,24.28"
"T2M,2021,29,80,15.78,19.22,24.91,28.44,28.63,29.09,28.81,27.13,26.33,23.89,17.3,14.17,23.64"
"T2M,2022,26,76.875,14.28,18.71,27.75,34.29,36.76,35.29,30.89,27.46,27.45,23.79,19.84,16.91,26.12"
"T2M,2022,26,77.5,13.92,18.78,27.73,34.22,36.36,34.94,30.47,27.15,27.12,23.64,19.96,16.89,25.93"
"T2M,2022,26,78.125,13.86,18.45,27.43,34.59,36.7,35.77,31.38,27.65,27.44,23.85,20.2,16.75,26.17"
"T2M,2022,26,78.75,13.42,17.93,27.18,34.99,36.85,36.15,31.8,28.19,27.87,24.17,19.87,16.3,26.23"
"T2M,2022,26,79.375,13.22,17.65,27.23,35.18,36.67,36.31,32.03,28.54,28.1,24.33,19.47,15.81,26.21"
"T2M,2022,26,80,13.2,17.5,27.07,35.11,36.4,36.73,32.25,28.7,28.11,24.36,19.08,15.46,26.16"
"T2M,2022,26.5,76.875,13.53,17.84,27.26,34.03,36.44,35.24,30.95,27.73,27.85,23.9,20.32,16.45,25.96"
"T2M,2022,26.5,77.5,13.87,18.19,26.99,34.54,36.8,36.17,31.82,28.03,27.98,24.01,20.39,16.4,26.27"
"T2M,2022,26.5,78.125,13.74,17.96,27.02,34.71,36.89,36.33,32.11,28.31,28.18,24.22,20.39,16.29,26.35"
"T2M,2022,26.5,78.75,13.54,17.49,26.76,34.86,36.71,36.49,32.2,28.49,28.16,24.23,19.83,15.95,26.23"
"T2M,2022,26.5,79.375,13.38,17,26.35,34.64,36.17,36.56,32.24,28.62,28.19,24.22,19.4,15.69,26.04"
"T2M,2022,26.5,80,13.07,16.63,26.19,34.45,35.78,36.82,32.21,28.7,28.09,24.12,18.9,15.13,25.84"
"T2M,2022,27,76.875,13.42,17.47,26.43,34.08,36.4,35.77,31.71,28.65,28.88,24.26,20.87,16.37,26.19"
"T2M,2022,27,77.5,13.45,17.3,26.02,34.08,36.46,36.37,32.31,29,28.88,23.98,20.16,15.77,26.15"
"T2M,2022,27,78.125,13.42,17.07,26.26,34.37,36.55,36.48,32.35,29.06,28.98,24.11,20,15.79,26.2"
"T2M,2022,27,78.75,13.37,16.71,26.03,34.29,36.16,36.59,32.37,29.01,28.73,24.13,19.49,15.53,26.03"
"T2M,2022,27,79.375,13.29,16.45,25.85,34.1,35.62,36.68,32.24,29.11,28.73,24.23,19.4,15.48,25.93"
"T2M,2022,27,80,13.1,16.33,25.87,34.08,35.13,36.74,32.17,29.24,28.63,24.19,19.13,15.23,25.82"
"T2M,2022,27.5,76.875,12.97,16.67,25.85,33.75,36.11,35.91,32.12,29.69,29.46,24.26,20.4,15.87,26.09"
"T2M,2022,27.5,77.5,13.06,16.52,25.64,33.79,36.15,36.52,32.92,30.43,29.65,23.98,19.46,15.06,26.1"
"T2M,2022,27.5,78.125,12.93,16.28,25.8,33.91,35.93,36.45,32.56,30.14,29.52,23.97,19.24,15.08,25.98"
"T2M,2022,27.5,78.75,12.99,15.94,25.47,33.66,35.52,36.55,32.63,30.28,29.37,24.01,18.95,14.83,25.85"
"T2M,2022,27.5,79.375,12.9,15.6,25.24,33.39,35.06,36.7,32.36,30.25,29.36,24.3,19.19,15.07,25.78"
"T2M,2022,27.5,80,12.8,15.46,25.11,33.21,34.53,36.56,32.15,30.12,29.03,24.32,19.2,15.05,25.63"
"T2M,2022,28,76.875,12.39,15.79,25.18,33.1,35.53,35.79,32.05,30.17,29.65,24.06,19.75,15.17,25.72"
"T2M,2022,28,77.5,12.49,15.83,25.23,33.27,35.55,36.27,32.94,31.11,29.86,23.79,18.9,14.55,25.82"
"T2M,2022,28,78.125,12.28,15.56,25.13,33.24,35.3,36.23,32.59,30.82,29.69,23.78,18.68,14.57,25.66"
"T2M,2022,28,78.75,12.39,15.29,24.97,33,35.05,36.38,32.68,31.02,29.54,23.83,18.46,14.24,25.57"
"T2M,2022,28,79.375,12.34,14.78,24.59,32.56,34.64,36.49,32.4,30.87,29.51,24.01,18.66,14.52,25.45"
"T2M,2022,28,80,12.43,14.84,24.56,32.42,34.01,36.24,32.13,30.64,29.19,24.03,18.83,14.74,25.34"
"T2M,2022,28.5,76.875,12,15.12,24.72,32.68,35.17,35.8,32.02,30.24,29.66,23.74,19.25,14.72,25.43"
"T2M,2022,28.5,77.5,11.98,15.12,24.71,32.77,35.01,35.89,32.66,31.09,29.7,23.58,18.49,14.31,25.44"
"T2M,2022,28.5,78.125,11.85,14.82,24.57,32.6,34.8,35.86,32.32,30.74,29.55,23.6,18.37,14.37,25.29"
"T2M,2022,28.5,78.75,12.02,14.74,24.5,32.26,34.51,35.93,32.62,31.32,29.5,23.62,18.31,14.25,25.3"
"T2M,2022,28.5,79.375,12.23,14.59,24.26,31.87,34.05,36.1,32.3,31.08,29.2,23.67,18.59,14.54,25.21"
"T2M,2022,28.5,80,12.27,14.63,24.09,31.61,33.27,35.77,31.77,30.44,28.53,23.61,18.74,14.69,24.95"
"T2M,2022,29,76.875,11.69,14.58,24.38,32.25,34.89,35.63,31.75,29.5,29.27,23.32,18.5,14.15,24.99"
"T2M,2022,29,77.5,11.57,14.41,24.27,32.18,34.65,35.53,32.02,30.55,29.4,23.26,18.1,14.12,25.01"
"T2M,2022,29,78.125,11.78,14.46,24.19,32.05,34.3,35.47,31.89,30.11,29.23,23.27,18.08,14.13,24.91"
"T2M,2022,29,78.75,12.36,14.84,24.41,31.77,34.01,35.39,32.08,31,29.18,23.53,18.82,14.74,25.18"
"T2M,2022,29,79.375,12.45,14.71,24.27,31.09,32.95,34.79,31.31,30.23,28.09,23.18,18.97,15.36,24.78"
"T2M,2022,29,80,12.21,14.33,23.71,30.18,31.22,33.65,30.06,29,26.93,22.51,18.6,15.37,23.98"
"T2M,2023,26,76.875,14.27,20.62,25.65,30.09,32.77,32.81,29.56,28,28,26.46,21.4,17.2,25.57"
"T2M,2023,26,77.5,14.46,20.95,25.55,29.94,32.22,32.57,29.2,27.53,27.44,25.6,21.15,16.81,25.29"
"T2M,2023,26,78.125,14.63,20.67,25.58,30.42,32.77,33.42,29.71,27.88,27.77,26.12,21.55,17.11,25.64"
"T2M,2023,26,78.75,14.72,20.58,25.93,30.86,33.15,34.1,30.15,28.26,28.01,25.93,21.89,17.32,25.91"
"T2M,2023,26,79.375,14.5,20.42,26.2,30.99,33.28,34.68,30.57,28.59,28.36,26.18,22.21,17.44,26.12"
"T2M,2023,26,80,14.28,20.28,25.98,30.75,33.12,35.13,30.72,28.73,28.42,26.29,22.32,17.35,26.11"
"T2M,2023,26.5,76.875,13.7,20.45,25.26,29.64,32.54,32.59,30.03,28.39,28.43,26.28,21.19,16.65,25.43"
"T2M,2023,26.5,77.5,14.21,20.43,25.53,30.25,33.08,33.52,30.42,28.5,28.31,26.48,21.35,16.97,25.75"
"T2M,2023,26.5,78.125,14.43,20.5,25.72,30.57,33.17,33.93,30.59,28.62,28.42,26.62,21.72,17.17,25.95"
"T2M,2023,26.5,78.75,14.42,20.33,25.82,30.65,33.17,34.23,30.57,28.59,28.34,26.43,21.91,17.25,25.98"
"T2M,2023,26.5,79.375,14.31,20.07,25.77,30.54,32.88,34.67,30.58,28.71,28.42,26.44,22.01,17.32,25.98"
"T2M,2023,26.5,80,14.05,19.78,25.51,30.27,32.6,34.96,30.44,28.78,28.31,26.25,22.06,17.22,25.85"
"T2M,2023,27,76.875,13.74,20.27,24.88,29.5,32.64,33.19,30.99,29.31,29.08,26.67,21.2,16.79,25.69"
"T2M,2023,27,77.5,13.68,19.88,24.85,29.7,32.75,33.95,31.11,29.11,28.65,26.42,21.13,16.78,25.67"
"T2M,2023,27,78.125,14.03,19.96,25.13,30.1,32.91,34.2,31.04,29.16,28.71,26.74,21.55,17.08,25.88"
"T2M,2023,27,78.75,14.12,19.85,25.2,30.05,32.69,34.38,30.63,28.87,28.31,26.33,21.68,17.1,25.77"
"T2M,2023,27,79.375,14.14,19.74,25.31,29.97,32.45,34.62,30.53,29.06,28.32,26.17,21.78,17.15,25.77"
"T2M,2023,27,80,14.09,19.63,25.27,29.88,32.36,34.95,30.4,29.2,28.2,25.88,21.81,17.13,25.73"
"T2M,2023,27.5,76.875,13.33,19.96,24.25,28.96,32.17,33.26,31.2,29.94,29.26,26.4,21.05,16.63,25.53"
"T2M,2023,27.5,77.5,13.14,19.4,24.35,29.05,32.28,34.23,31.38,29.55,28.75,26.15,21.09,16.61,25.5"
"T2M,2023,27.5,78.125,13.5,19.42,24.49,29.29,32.3,34.19,31.04,29.3,28.73,26.48,21.36,16.81,25.58"
"T2M,2023,27.5,78.75,13.56,19.31,24.49,29.18,32.14,34.4,30.78,29.08,28.19,26.05,21.36,16.77,25.44"
"T2M,2023,27.5,79.375,13.8,19.35,24.76,29.25,32.17,34.6,30.62,29.31,28.14,25.77,21.45,16.82,25.5"
"T2M,2023,27.5,80,13.89,19.2,24.79,29.23,32.15,34.83,30.45,29.29,27.99,25.4,21.44,16.79,25.45"
"T2M,2023,28,76.875,12.54,19.3,23.72,28.16,31.39,33.02,30.89,30.13,29.28,25.82,20.74,16.22,25.1"
"T2M,2023,28,77.5,12.67,18.99,23.91,28.31,31.58,33.99,31.06,29.64,28.57,25.44,20.8,16.21,25.1"
"T2M,2023,28,78.125,13,18.87,23.95,28.44,31.64,33.86,30.69,29.26,28.57,25.74,20.98,16.36,25.11"
"T2M,2023,28,78.75,13.13,18.77,24.03,28.38,31.54,34.28,30.54,28.95,27.96,25.28,20.98,16.41,25.02"
"T2M,2023,28,79.375,13.47,18.83,24.19,28.45,31.58,34.44,30.35,28.95,27.81,25,21.11,16.51,25.06"
"T2M,2023,28,80,13.77,18.97,24.32,28.52,31.77,34.63,30.25,28.98,27.77,24.86,21.33,16.63,25.15"
"T2M,2023,28.5,76.875,12.17,18.82,23.45,27.66,30.86,33.07,30.57,30.17,29.38,25.55,20.47,15.79,24.83"
"T2M,2023,28.5,77.5,12.4,18.7,23.56,27.79,30.96,33.69,30.5,29.4,28.3,24.76,20.54,15.9,24.71"
"T2M,2023,28.5,78.125,12.84,18.56,23.64,27.87,31.02,33.59,30.28,29.1,28.42,25.25,20.75,16.19,24.79"
"T2M,2023,28.5,78.75,13.13,18.5,23.71,27.92,30.88,34.13,30.21,28.8,27.9,24.79,20.71,16.28,24.75"
"T2M,2023,28.5,79.375,13.5,18.56,23.78,27.98,30.8,34.23,29.96,28.62,27.73,24.48,20.92,16.51,24.76"
"T2M,2023,28.5,80,13.7,18.56,23.78,27.91,30.71,34.09,29.69,28.44,27.57,24.51,21.21,16.74,24.74"
"T2M,2023,29,76.875,11.91,18.35,23.15,27.26,30.44,33.03,30.24,29.96,29.15,25.11,20.25,15.41,24.52"
"T2M,2023,29,77.5,12.48,18.44,23.24,27.36,30.41,33.32,29.89,28.97,27.68,23.65,20.15,15.64,24.27"
"T2M,2023,29,78.125,12.95,18.34,23.35,27.44,30.59,33.4,29.89,28.81,28.1,24.67,20.64,16.14,24.53"
"T2M,2023,29,78.75,13.7,18.56,23.47,27.54,30.37,33.64,29.67,28.5,27.91,24.64,20.98,16.47,24.62"
"T2M,2023,29,79.375,14.19,18.84,23.15,27.24,29.74,33.05,28.89,27.89,27.23,24.05,21,16.76,24.34"
"T2M,2023,29,80,14.14,18.46,22.3,26.48,28.82,32.07,28.17,27.24,26.61,23.36,20.53,16.29,23.71"
"T2M,2024,26,76.875,14.95,18.94,24.95,31.63,37.16,36.49,29.91,27.63,27.36,25.3,20,15.19,25.79"
"T2M,2024,26,77.5,14.5,18.81,24.46,31.31,36.55,36.05,29.45,27.45,26.95,25.19,20.67,15.53,25.58"
"T2M,2024,26,78.125,14.27,18.51,24.67,31.78,36.62,36.77,29.99,27.93,27.22,25.27,20.1,15.06,25.68"
"T2M,2024,26,78.75,14.36,18.7,24.68,32.19,36.93,37.26,30.59,28.46,27.67,25.61,20.22,15.15,25.99"
"T2M,2024,26,79.375,14.62,18.99,24.76,32.51,36.9,37.46,31.24,28.77,27.9,25.86,20.53,15.42,26.25"
"T2M,2024,26,80,14.75,19.05,24.74,32.67,36.65,37.69,31.72,28.9,28.09,26.12,20.98,15.8,26.43"
"T2M,2024,26.5,76.875,13.91,18.33,24.46,31.28,36.9,36.66,30.01,27.68,27.29,25.43,20.4,15.22,25.63"
"T2M,2024,26.5,77.5,13.92,18.32,24.44,31.71,37.1,37.25,30.1,28.1,27.59,25.53,20.57,15.34,25.83"
"T2M,2024,26.5,78.125,14,18.45,24.71,31.96,37.03,37.61,30.39,28.4,27.74,25.64,20.36,15.24,25.96"
"T2M,2024,26.5,78.75,14.07,18.49,24.47,32.11,36.87,37.7,30.64,28.65,27.87,25.65,20.24,15.2,26"
"T2M,2024,26.5,79.375,14.22,18.54,24.36,32.25,36.61,37.72,31.21,28.75,27.92,25.71,20.42,15.39,26.09"
"T2M,2024,26.5,80,14.26,18.5,24.32,32.34,36.29,37.81,31.46,28.75,27.98,25.85,20.87,15.73,26.18"
"T2M,2024,27,76.875,13.53,18.07,24.26,31.19,36.86,37.36,30.65,27.9,27.55,25.72,21.07,15.41,25.8"
"T2M,2024,27,77.5,13.35,17.91,23.98,31.4,36.87,37.67,30.47,28.29,27.87,25.72,20.85,15.3,25.81"
"T2M,2024,27,78.125,13.65,18.23,24.32,31.7,36.83,37.94,30.57,28.49,27.92,25.62,20.51,15.2,25.92"
"T2M,2024,27,78.75,13.75,18.18,24.11,31.79,36.53,37.81,30.4,28.57,27.91,25.47,20.26,15.21,25.83"
"T2M,2024,27,79.375,13.9,18.19,24.07,31.99,36.25,37.76,30.48,28.69,27.95,25.49,20.46,15.44,25.89"
"T2M,2024,27,80,13.99,18.13,24.22,32.17,36.06,37.78,30.48,28.74,27.99,25.63,20.82,15.72,25.98"
"T2M,2024,27.5,76.875,13.28,17.61,23.84,30.75,36.57,37.66,31.17,28.15,27.72,26.18,21.67,15.3,25.82"
"T2M,2024,27.5,77.5,13.11,17.58,23.72,31.1,36.7,37.98,30.87,28.63,28.18,26.11,21.28,15.22,25.87"
"T2M,2024,27.5,78.125,13.58,17.9,23.92,31.2,36.52,37.97,30.65,28.59,28.05,25.58,20.59,15.09,25.8"
"T2M,2024,27.5,78.75,13.54,17.74,23.81,31.34,36.24,37.83,30.36,28.61,27.97,25.41,20.63,15.27,25.73"
"T2M,2024,27.5,79.375,13.68,17.73,23.9,31.61,35.96,37.71,30.09,28.62,27.94,25.33,20.61,15.45,25.72"
"T2M,2024,27.5,80,13.68,17.68,23.93,31.82,35.75,37.47,29.94,28.61,27.87,25.29,20.52,15.53,25.67"
"T2M,2024,28,76.875,12.97,16.83,23.26,30.32,36.18,37.47,31.59,28.47,27.87,26.4,21.5,14.79,25.64"
"T2M,2024,28,77.5,12.94,16.99,23.29,30.87,36.41,37.83,31.45,28.76,28.17,26.01,21.31,15,25.75"
"T2M,2024,28,78.125,13.26,17.17,23.52,30.96,36.27,37.84,31.1,28.57,27.95,25.41,20.79,14.95,25.65"
"T2M,2024,28,78.75,13.28,17.17,23.51,31.16,36.11,37.74,30.36,28.53,27.91,25.12,20.45,15.1,25.54"
"T2M,2024,28,79.375,13.51,17.26,23.6,31.36,35.73,37.58,29.84,28.52,27.83,24.91,19.99,15.16,25.44"
"T2M,2024,28,80,13.77,17.47,23.81,31.6,35.42,37.47,29.79,28.63,27.86,25.07,20.18,15.49,25.55"
"T2M,2024,28.5,76.875,12.76,16.31,22.8,30.12,36.11,37.49,32.16,28.8,28.08,26.32,21.4,14.62,25.58"
"T2M,2024,28.5,77.5,12.72,16.45,22.91,30.57,36.12,37.7,31.74,28.72,27.98,25.44,20.97,14.71,25.5"
"T2M,2024,28.5,78.125,13.16,16.72,23.19,30.72,36.02,37.67,31.37,28.55,27.85,25.14,20.57,14.75,25.48"
"T2M,2024,28.5,78.75,13.24,16.87,23.17,30.95,35.85,37.61,30.45,28.53,27.83,24.9,20.19,14.94,25.38"
"T2M,2024,28.5,79.375,13.63,17.11,23.23,31.06,35.46,37.45,29.7,28.48,27.76,24.83,20.12,15.15,25.33"
"T2M,2024,28.5,80,14.01,17.33,23.31,31.09,34.87,37.09,29.46,28.41,27.68,24.89,20.22,15.45,25.32"
"T2M,2024,29,76.875,12.51,15.91,22.4,29.83,35.99,37.56,32.46,29,28.19,26.05,21.17,14.37,25.45"
"T2M,2024,29,77.5,12.54,16.11,22.49,30.09,35.85,37.64,31.24,28.59,27.82,24.81,20.35,14.29,25.15"
"T2M,2024,29,78.125,13.22,16.54,22.89,30.35,35.71,37.58,31.26,28.56,27.86,24.83,20.53,14.65,25.33"
"T2M,2024,29,78.75,13.55,16.81,22.9,30.47,35.47,37.31,30.24,28.38,27.81,25.06,20.59,15.26,25.32"
"T2M,2024,29,79.375,13.96,16.79,22.71,29.9,34.45,36.27,29.09,27.86,27.34,24.75,20.51,15.8,24.95"
",2024,29,80,13.65,16.54,22.21,29.27,32.85,34.75,28.36,27.28,26.71,24.33,19.93,15.84,24.31"
